[00:18:55] [1/INFO] [tML]: Starting tModLoader v0.11.7.2 Windows client (24/05/2020)
[00:18:55] [1/INFO] [tML]: Running on NetFramework 4.8
[00:18:55] [1/INFO] [tML]: Executable: C:\Program Files (x86)\Steam\steamapps\common\tModLoader\tModLoader.exe
[00:18:55] [1/INFO] [tML]: Working Directory: C:\Program Files (x86)\Steam\steamapps\common\tModLoader
[00:18:55] [1/INFO] [tML]: Launch Parameters: 
[00:18:55] [1/DEBUG] [tML]: Assembly Resolve:  -> MonoMod.RuntimeDetour, Version=20.5.14.1, Culture=neutral, PublicKeyToken=null
[00:18:55] [1/DEBUG] [tML]: Assembly Resolve: MonoMod.RuntimeDetour, Version=20.5.14.1, Culture=neutral, PublicKeyToken=null -> MonoMod.Utils, Version=20.5.14.1, Culture=neutral, PublicKeyToken=null
[00:18:55] [1/DEBUG] [tML]: Assembly Resolve: MonoMod.RuntimeDetour, Version=20.5.14.1, Culture=neutral, PublicKeyToken=null -> Mono.Cecil, Version=0.11.2.0, Culture=neutral, PublicKeyToken=50cebf1cceb9d05e
[00:18:55] [1/DEBUG] [tML]: Assembly Resolve:  -> Newtonsoft.Json, Version=10.0.0.0, Culture=neutral, PublicKeyToken=30ad4fe6b2a6aeed
[00:18:56] [1/DEBUG] [tML]: Assembly Resolve:  -> Steamworks.NET, Version=9.1.0.0, Culture=neutral, PublicKeyToken=null
[00:18:56] [1/INFO] [Terraria]: Found Terraria steamapp install at: C:\Program Files (x86)\Steam\steamapps\common\Terraria
[00:18:57] [1/DEBUG] [tML]: Assembly Resolve:  -> Ionic.Zip.Reduced, Version=1.9.1.8, Culture=neutral, PublicKeyToken=edbe51ad942a3f5c
[00:18:57] [1/DEBUG] [Terraria]: Graphics Device: NVIDIA GeForce GTX 1070 Ti {Width:2560 Height:1440 Format:Color AspectRatio:1.777778}
[00:18:57] [1/DEBUG] [Terraria]: Device Reset, Profile: Reach -> HiDef, Width: 800, Height: 480, Fullscreen: False, Display: \\.\DISPLAY1
[00:18:58] [1/INFO] [Terraria]: Loaded 1000 vanilla assets
[00:18:59] [1/INFO] [Terraria]: Loaded 2000 vanilla assets
[00:19:02] [1/INFO] [Terraria]: Loaded 3000 vanilla assets
[00:19:06] [1/INFO] [Terraria]: Loaded 4000 vanilla assets
[00:19:09] [1/INFO] [Terraria]: Loaded 5000 vanilla assets
[00:19:12] [1/DEBUG] [Terraria]: Device Reset, Profile: HiDef, Width: 800, Height: 480 -> 600, Fullscreen: False, Display: \\.\DISPLAY1
[00:19:14] [12/DEBUG] [tML]: Assembly Resolve:  -> MP3Sharp, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
[00:19:14] [12/DEBUG] [tML]: Assembly Resolve:  -> NVorbis, Version=0.8.4.0, Culture=neutral, PublicKeyToken=null
[00:19:14] [15/DEBUG] [tML]: Assembly Resolve:  -> Mono.Cecil.Mdb, Version=0.11.2.0, Culture=neutral, PublicKeyToken=50cebf1cceb9d05e
[00:19:14] [16/DEBUG] [tML]: Assembly Resolve:  -> Mono.Cecil.Pdb, Version=0.11.2.0, Culture=neutral, PublicKeyToken=50cebf1cceb9d05e
[00:19:14] [16/DEBUG] [tML]: Assembly Resolve:  -> Mono.Cecil.Mdb, Version=0.11.2.0, Culture=neutral, PublicKeyToken=50cebf1cceb9d05e
[00:19:14] [7/INFO] [Terraria]: JIT loading finished
[00:19:26] [1/DEBUG] [Terraria]: Device Reset, Profile: HiDef, Width: 800 -> 2560, Height: 600 -> 1377, Fullscreen: False, Display: \\.\DISPLAY1
[00:19:36] [22/INFO] [tML]: Unloading mods
[00:19:37] [22/INFO] [tML]: Finding Mods...
[00:19:37] [22/INFO] [tML]: Instantiating Mods...
[00:19:37] [22/INFO] [tML]: Initializing: ModLoader v0.11.7.2
[00:19:37] [22/INFO] [tML]: Setting up...
[00:19:37] [22/INFO] [tML]: Loading: ModLoader v0.11.7.2
[00:19:37] [22/INFO] [tML]: Adding Recipes...
[00:19:51] [23/DEBUG] [tML]: Web Request: http://javid.ddns.net/tModLoader/listmods.php
[00:19:51] [17/DEBUG] [tML]: Web Request: https://www.dropbox.com/s/hvx5pu64lcqk5xl/listmods.php_tModLoader v0.11.7.2_wsn.txt?dl=1
[00:19:52] [17/DEBUG] [tML]: Web Request: https://www.dropbox.com/s/dl/hvx5pu64lcqk5xl/listmods.php_tModLoader v0.11.7.2_wsn.txt
[00:19:52] [17/DEBUG] [tML]: Web Request: https://uca486beedabdf9b5e474aa147f8.dl.dropboxusercontent.com/cd/0/get/A4RXGXg6nTu-6JynTzg1s6RsaxwVcgDcY2jdJWdP57LIrm4PGScgtY9EZrRkdw9giKr7CrfrQGJbColv0W64E0--NgFY9ZjIxcUrjsvS2Wn4gur4-af44eJnBaUQJP6EyrQ/file?dl=1#
[00:19:53] [1/DEBUG] [tML]: Web Request: https://i.imgur.com/9F0jfMD.png
[00:19:53] [1/DEBUG] [tML]: Web Request: https://i.imgur.com/qECByPK.png
[00:19:53] [1/DEBUG] [tML]: Web Request: https://i.imgur.com/P3t59BV.png
[00:19:53] [1/DEBUG] [tML]: Web Request: https://i.imgur.com/MvfnNhn.png
[00:19:53] [1/DEBUG] [tML]: Web Request: https://i.imgur.com/TU20PL8.png
[00:19:53] [1/DEBUG] [tML]: Web Request: https://i.imgur.com/n5GtJcS.png
[00:19:53] [1/DEBUG] [tML]: Web Request: https://i.imgur.com/slu9CRt.png
[00:19:53] [1/DEBUG] [tML]: Web Request: https://i.imgur.com/Zg6LQGZ.png
[00:20:08] [1/DEBUG] [tML]: Web Request: https://i.imgur.com/Tu4K25O.png
[00:20:12] [22/DEBUG] [tML]: Web Request: http://javid.ddns.net/tModLoader/moddescription.php
[00:20:12] [22/DEBUG] [tML]: Web Request: http://javid.ddns.net/tModLoader/moddescription.php
[00:20:26] [1/DEBUG] [tML]: Web Request: https://i.imgur.com/yZbbJot.png
[00:20:26] [1/DEBUG] [tML]: Web Request: https://i.imgur.com/lm11Z4j.png
[00:20:26] [1/DEBUG] [tML]: Web Request: https://i.imgur.com/GmoWnQZ.png
[00:20:26] [1/DEBUG] [tML]: Web Request: https://i.imgur.com/KsEdZrz.png
[00:20:26] [1/DEBUG] [tML]: Web Request: https://i.imgur.com/jFJGu7X.png
[00:20:26] [1/DEBUG] [tML]: Web Request: https://i.imgur.com/GY1qT4y.png
[00:20:32] [1/DEBUG] [tML]: Web Request: https://i.imgur.com/KOHBHAE.png
[00:20:34] [1/DEBUG] [tML]: Web Request: https://i.imgur.com/S3IZDHw.png
[00:20:34] [1/DEBUG] [tML]: Web Request: https://i.imgur.com/Mw9qvAP.png
[00:20:37] [12/DEBUG] [tML]: Web Request: http://javid.ddns.net/tModLoader/moddescription.php
